brand,model,recommended_tension_lbs,string_length,string_pattern,main_holes_skipped,main_holes_tied,cross_holes_started,cross_holes_tied
"Wilson","K BLADE TOUR 93","50 - 60","21'M - 19'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 12B"
"Wilson","K BOLD","53 - 63","20'M - 19'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","K BRAVE 103","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","K COURT 100","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","K FIERCE FX","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","K FIVE 108","53 - 63","21'M - 19'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 12B"
"Wilson","K FIVE 98","50 - 60","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 12B"
"Wilson","K FOUR 105","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","4T - 5B"
"Wilson","K FOUR 112","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","4T - 5B"
"Wilson","K FOUR FX","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","K FURY 100","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","K OBRA TEAM FX 99","50 - 60","20'M - 18'C","16M X 19C","8T - 8B","6B","8T","5T - 10B"
"Wilson","K OBRA TOUR 99","50 - 60","20'M - 18'C","16M X 19C","8T - 8B","6B","8T","5T - 10B"
"Wilson","K ONE 122","55 - 65","21'M - 21'C","16M X 19C","7,9,10T","6T","7T","4T - 7B"
"Wilson","K ONE FX 122","55 - 65","21'M - 21'C","16M X 19C","7,9,10T","6T","7T","4T - 8B"
"Wilson","K PRO OPEN 100","53 - 63","20'M - 18'C","16M X 19C","8T - 8B","6B","8T","5T - 12B"
"Wilson","K PRO SIX","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 12B"
"Wilson","K PRO STAFF 88","50 - 60","18'M - 16'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","K PRO TEAM FX 100","53 - 63","20'M - 18'C","16M X 19C","8T - 8B","6B","8T","5T - 10B"
"Wilson","K PRO TOUR 95","50 - 60","20'M - 17'C","16M X 20C","8T - 8B","6B","8T","5T - 12B"
"Wilson","K SIX-ONE 95 (16x18 pattern)","50 - 60","20'M - 18'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 11B"
"Wilson","K SIX-ONE 95 (18x20 pattern)","50 - 60","20'M - 17'C","18M X 20C","8,10T - 8,10B","9B","8T","5T - 13B"
"Wilson","K SIX-ONE TEAM 95","50 - 60","21'M - 17'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 14B"
"Wilson","K SIX-ONE TOUR 90","50 - 60","18'M - 16'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","K SIX-ONE X 95","50 - 60","18'M - 18'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 11B"
"Wilson","K SIX-TWO 100","53 - 63","20'M - 17'C","16M X 19C","7,9T - 7,9B","8T","7T","6T - 8B"
"Wilson","K STING 105","53 - 63","20'M -18'C","16M X 19C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","K SURGE 100","53 - 63","19'M - 16'C","16M X 19C","8T - 8B","6B","8T","5T - 11B"
"Wilson","K THREE 115","55 - 65","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","K THREE FX 115","55 - 65","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","K TOUR 95","50 - 60","20'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 12B"
"Wilson","K TOUR TEAM FX 102","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","K ZEN 103","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6T","7T","4T - 6B"
"Wilson","K ZEN TEAM 103","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6T","7T","4T - 6B"
"Wilson","K ZEN TEAM FX","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6T","7T","4T - 8B"
"Wilson","K ZERO 118","55 - 65","22'M - 18'C","16M X 19C","5,7,9,11,12T","6B","5T","3T - 11B"
"Wilson","n1 115","55 - 65","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","n1 FORCE","55 - 65","21'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","n2","55 - 65","22'M - 20'C","16M X 20C","6,8,10T","7T","6T","4T - 7B"
"Wilson","n3","55 - 65","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","n4 101","53 - 63","19'M - 17'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","n4 111","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","n5 110","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","n5 98","51 - 61","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","n5 FORCE 110","53 - 63","21'M - 19'C","16M X 20C","7,9T - 7,9B","6B","7T","5T -11B"
"Wilson","n5 FORCE 98","50 - 60","20'M - 19'C","16M X 20C","7,9T - 7,9B","6B","7T","5T -11B"
"Wilson","n6 110","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","n6 95","51 - 61","19'M - 17'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","nBLADE 106","53 - 63","21'M - 19'C","18M X 19C","9T - 9B","7B","9T","6T - 12B"
"Wilson","nBLADE 98","50 - 60","21'M - 19'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 12B"
"Wilson","nFURY 100","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 8B"
"Wilson","nFURY 110","53 - 63","21'M - 18'C","16M X 19C","7,9T - 7,9B","8B","7T","6T - 11B"
"Wilson","nFURY TWO 100","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 12B"
"Wilson","nFURY TWO 110","53 - 63","21'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 12B"
"Wilson","nPRO","50 - 60","21'M - 17'C","18M X 18C","8,10T - 8,10B","9B","8T","6T - 7B"
"Wilson","nPRO OPEN","53 - 63","20'M - 17'C","16M X 19C","8T - 8B","6B","8T","5T - 10B"
"Wilson","nPRO OPEN X","53 - 63","20'M - 17'C","16M X 19C","8T - 8B","6B","8T","5T - 10B"
"Wilson","nPRO STAFF 95","53 - 63","20'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 14B"
"Wilson","nPRO SURGE","53 - 63","20'M - 19'C","16M X 19C","8T - 8B","6B","8T","5T - 11B"
"Wilson","nSIX-ONE 95 (16x18 pattern)","50 - 60","18'M - 16'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 11B"
"Wilson","nSIX-ONE 95 (18x20 pattern)","53 - 63","19'M - 17'C","18M X 20C","8,10T - 8,10B","9B","8T","5T - 13B"
"Wilson","nSIX-ONE TEAM 95 (16x18 pattern)","53 - 63","20'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 14B"
"Wilson","nSIX-ONE TEAM 95 (18x20 pattern)","53 - 63","20'M - 18'C","16M X 18C","8T - 8B","6B","8T","5T - 11B"
"Wilson","nSIX-ONE TOUR 90","50 - 60","18'M - 16'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","nSIX-TWO 100","53 - 63","20'M - 17'C","16M X 19C","7,9T - 7,9B","8T","7T","6T - 8B"
"Wilson","nSIX-TWO 113","53 - 63","21'M - 17'C","16M X 20C","7,9T - 7,9B","8T","7T","6T - 8B"
"Wilson","nTOUR 105","53 - 63","21'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","nTOUR 95","50 - 60","20'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","nTOUR-TWO 105","53 - 63","21'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 12B"
"Wilson","nTOUR-TWO 95","50 - 60","20'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 12B"
"Wilson","nVISION","53 - 63","20'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF 100LS","54 - 64","20'M - 16'C","16M X 15C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF 4.2 110","55 - 65","20'M - 18'C","18M X 19C","7,9T - 7,9B","7B","8T","5T - 13B"
"Wilson","PRO STAFF 4.2 95","50 - 60","19'M - 16'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 11B"
"Wilson","PRO STAFF 4.5 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","6B","8T","5T - 13B"
"Wilson","PRO STAFF 4.5 95","48 - 58","19'M - 18'C","18M X 20C","8,10T - 8,10B","9B","8T","5T - 13B"
"Wilson","PRO STAFF 4.7 EB STRETCH 100","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6T","7T","4T - 11B"
"Wilson","PRO STAFF 4.7 EB STRETCH 115","55 - 65","22'M - 18'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 12B"
"Wilson","PRO STAFF 4.9 110","55 - 65","21'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 6B"
"Wilson","PRO STAFF 4.9 95","53 - 63","18'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","PRO STAFF 5.5 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","6B","8T","5T - 13B"
"Wilson","PRO STAFF 5.5 95","50 - 60","18'M - 17'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF 5.7 EB STRETCH 100","53 - 63","20'M - 16'C","16M X 20C","7,9T - 7,9B","6T","7T","4T - 11B"
"Wilson","PRO STAFF 5.7 EB STRETCH 115","55 - 65","21'M - 18'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 12B"
"Wilson","PRO STAFF 5.8 110","53 - 63","20'M - 17'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","PRO STAFF 5.8 95","53 - 63","17'M - 16'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","PRO STAFF 5.9 STRETCH 110","53 - 63","20'M - 19'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","PRO STAFF 5.9 STRETCH 95","53 - 63","17'M - 16'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","PRO STAFF 6.0 110","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","PRO STAFF 6.0 95","50 - 60","18'M - 17'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","PRO STAFF 6.0 ORIGINAL 85","50 - 60","18'M - 16'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 8B"
"Wilson","PRO STAFF 6.0 ORIGINAL 95","55 - 65","18'M - 16'C","16M X 18C","7,9T - 8B","6T","7T","5T - 11B"
"Wilson","PRO STAFF 6.1 CLASSIC 110","55 - 65","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","5T - 13B"
"Wilson","PRO STAFF 6.1 CLASSIC 95","55 - 65","19'M - 16'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 11B"
"Wilson","PRO STAFF 6.1 STRETCH 110","55 - 65","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","5T - 13B"
"Wilson","PRO STAFF 6.1 STRETCH 95","55 - 65","19'M - 17'C","18M X 20C","8,10T - 8,10B","9B","8T","5T - 13B"
"Wilson","PRO STAFF 6.6 Ti 110","53 - 63","20'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF 6.6 Ti 95","50 - 60","18'M - 16'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF 6.6 TOUR 95","55 - 65","19'M - 17'C","18M X 20C","8,10T - 8,10B","9B","8T","5T - 13B"
"Wilson","PRO STAFF 6.6 TOUR CLASSIC 85","55 - 65","18'M - 16'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF 6.7 EB 110","55 - 65","21'M - 16'C","18M X 20C","8,10T - 8,10B","6T","8T","5T - 6B"
"Wilson","PRO STAFF 6.9 110","55 - 65","19'M - 17'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 9B"
"Wilson","PRO STAFF 6.9 95","55 - 65","19'M - 16'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","PRO STAFF 7.0 110","53 - 63","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","5T - 13B"
"Wilson","PRO STAFF 7.0 95","50 - 60","18'M - 15'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 11B"
"Wilson","PRO STAFF 7.1 MP","50 - 60","18'M - 17'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF 7.5 CLASSIC 110","53 - 63","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","5T - 13B"
"Wilson","PRO STAFF 7.5 CLASSIC 95","50 - 60","18'M - 14'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 11B"
"Wilson","PRO STAFF 90","50 - 60","20'M - 19'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF 95","49 - 59","20'M - 19'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","PRO STAFF 95 S","54 - 64","20'M - 16'C","16M X 15C","8T - 8B","6B","8T","5T - 10B"
"Wilson","PRO STAFF 97","50 - 60","20'M - 19'C","16M X 19C","7,9T - 7,9B","8B","7T","5T - 6B"
"Wilson","PRO STAFF 97 L COUNTERVAIL","50 - 60","20'M - 19'C","16M X 19C","7,9T - 7,9B","8B","7T","5T - 6B"
"Wilson","PRO STAFF 97 LS","51 - 61","20'M - 16'C","18M X 16C","8,10T - 8,10B","9T","8T","6T - 9B"
"Wilson","PRO STAFF 97 LS BLACK","50 - 60","20'M - 19'C","18M X 16C","8,10T - 8,10B","9T","8T","6T - 6B"
"Wilson","PRO STAFF 97 S","50 - 60","20'M - 16'C","18M X 17C","8,10T - 8,10B","9T","8T","6T - 6B"
"Wilson","PRO STAFF 97 ULS","50 - 60","20'M - 16'C","18M X 16C","8,10T - 8,10B","9T","8T","7T - 9B"
"Wilson","PRO STAFF BLITZ","53 - 63","20'M - 18'C","16M X 19C","8T - 8B","6B","8T","5T - 11B"
"Wilson","PRO STAFF RF AUTOGRAPH 97","50 - 60","20'M - 18'C","16M X 19C","7,9T - 7,9B","8B","7T","5T - 6B"
"Wilson","PRO STAFF TITANIUM","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","7B","8T","5T - 14B"
"Wilson","PRO STAFF TORCH 110","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF TORCH 95","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","PRO STAFF TOUR 90","50 - 60","18'M - 16'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","PRO STAFF TOUR 95","53 - 63","18'M - 16'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF TRANCE 110","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PRO STAFF TRANCE 95","53 - 63","20'M - 17'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","PROFILE 2.7 110","55 - 65","20'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 8B"
"Wilson","PROFILE 2.7 95","55 - 65","18'M - 17'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","PROFILE 3.0 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 14B"
"Wilson","PROFILE 3.0 95","48 - 58","19'M - 18'C","18M X 20C","8,10T - 8,10B","6B","8T","5T - 13B"
"Wilson","PROFILE 3.6 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 14B"
"Wilson","PROFILE 3.6 95","45 - 55","19'M - 17'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 14B"
"Wilson","SLEDGEHAMMER 2.8 STRETCH NEW","53 - 63","20'M - 18'C","16M X 19C","7,9T","6T","7T","4T - 11B"
"Wilson","SLEDGEHAMMER 2.8 STRETCH OLD","55 - 65","20'M - 18'C","16M X 19C","7,9,10T","6T","7T","4T - 11B"
"Wilson","SLEDGEHAMMER 3.4 STRETCH","57 - 67","24'M - 20'C","18M X 20C","8,10T - 9B","7T","8T","5T - 6B"
"Wilson","SLEDGEHAMMER 3.8 110","55 - 65","21'M - 18'C","18M X 20C","8,10T - 8,10B","5B","8T","6T - 12B"
"Wilson","SLEDGEHAMMER 3.8 95","53 - 63","19'M - 17'C","16M X 20C","7,9T - 8B","6B","7T","5T - 11B"
"Wilson","SLEDGEHAMMER 3.8 P.H. 112","55 - 65","21'M - 18'C","18M X 19C","8,10T - 9B","7B","8T","9T - 11B"
"Wilson","SLEDGEHAMMER 3.8 P.H. 98","53 - 63","18'M - 16'C","16M X 18C","7,9T - 8B","6B","7T","8T - 10B"
"Wilson","SLEDGEHAMMER 3.8 P.H. STRCH 112","55 - 65","21'M - 18'C","18M X 19C","8,10T - 9B","7B","8T","9T - 11B"
"Wilson","SLEDGEHAMMER 4.8 110","55 - 65","21'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 12B"
"Wilson","SLEDGEHAMMER 4.8 95","53 - 63","19'M - 17'C","16M X 20C","7,9T - 8B","6B","7T","4T - 11B"
"Wilson","SLEDGEHAMMER 6.3 110","55 - 65","21'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 12B"
"Wilson","SLEDGEHAMMER 6.3 95","53 - 63","19'M - 17'C","16M X 20C","7,9T - 8B","6B","7T","4T - 11B"
"Wilson","STING 110","60 - 70","19'M - 17'C","16M X 19C","7,9T - 7,9B","6T","7T","4T - 8B"
"Wilson","T3 100","53 - 63","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","T3 115","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","T4 110","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TORCH 110","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TORCH 95","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","TRIAD 2 118","55 - 65","20'M - 18'C","16M X 19C","6,8,10,11T","7T","6T","4T - 11B"
"Wilson","TRIAD 2.0 115","50 - 60","21'M - 19'C","16M X 19C","6,8,10,11T - 8B","6B","6T","3T - 11B"
"Wilson","TRIAD 2.0 125","52 - 62","21'M - 19'C","16M X 20C","6,8,10,11T","7T","6T","4T - 11B"
"Wilson","TRIAD 2.2 OS","50 - 60","22'M - 18'C","16M X 19C","6,8,10,11T - 8B","6B","6T","3T - 11B"
"Wilson","TRIAD 26","50 - 60","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD 3 115","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD 3.0 110","50 - 60","22'M - 18'C","16M X 19C","6,8,10,11T","7T","6T","4T - 11B"
"Wilson","TRIAD 3.0 115","53 - 63","22'M - 18'C","16M X 19C","6,8,10,11T","7T","6T","4T - 11B"
"Wilson","TRIAD 3.2 115","50 - 60","22'M - 18'C","16M X 19C","6,8,10,11T","7T","6T","4T - 11B"
"Wilson","TRIAD 4.0 100","53 - 63","20'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD 4.0 110","53 - 63","20'M - 17'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD 5 110","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD 5 98","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD 5.0 110","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD 5.0 98","52 - 62","20'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD 6.0 106","50 - 60","20'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD 6.0 95","52 - 62","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","TRIAD XP 3","50 - 60","20'M X 20'C","16M X 19C","8T - 7,9B","7T","8T","6T - 8B"
"Wilson","TRIAD XP 5","50 - 60","20'M X 20'C","16M X 18C","7,9T - 7,9B","8T","7T","6T - 8B"
"Wilson","ULTRA 100","50 - 60","20'M - 19'C","16M X 19C","8T - 8B","7B","8T","7T - 6B"
"Wilson","ULTRA 103 S","50 - 60","20'M - 18'C","16M X 15C","7,9T - 7,9B","8B","7T","5T - 6B"
"Wilson","ULTRA 105 S COUNTERVAIL","50 - 60","20'M - 18'C","16M X 15C","7,9T - 7,9B","8B","7T","5T - 6B"
"Wilson","ULTRA 108","50 - 60","20'M - 19'C","16M X 19C","7,9T - 7,9B","8B","7T","8T - 9B"
"Wilson","ULTRA 95","50 - 60","18'M - 16'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 8B"
"Wilson","ULTRA 97","50 - 60","20'M - 19'C","16M X 19C","7,9T - 7,9B","8B","7T","5T - 6B"
"Wilson","ULTRA TOUR","50 - 60","20'M - 19'C","18M X 20C","8,10T - 9B","7B","8T","6T - 12B"
"Wilson","ULTRA XP 100LS","50 - 60","20'M - 17'C","16M X 15C","8T - 8B","7T","8T","6T - 7B"
"Wilson","ULTRA XP 100S","50 - 60","20'M - 18'C","16M X 15C","8T - 8B","7T","8T","6T - 7B"
"Wilson","ULTRA XP 110S","55 - 65","22'M - 18'C","18M X 16C","8,10T - 8,10B","9B","8T","6T - 7B"
"Wilson","ULTRA XP 125","50 - 60","23'M - 19'C","16M X 18C","5,7,9,11,12T","2T","5T","3T - 2B"
"Wilson","W2 BLACK WHISPER","55 - 65","20'M - 18'C","16M X 18C","6,8,10,11T","6B","6T","5T - 10B"
"Wilson","W2 BLUE SHADOW","55 - 65","20'M - 18'C","16M X 18C","6,8,10,11T","6B","6T","5T - 10B"
"Wilson","W2 SPICY RUBY","55 - 65","20'M - 18'C","16M X 18C","6,8,10,11T","6B","6T","5T - 10B"
"Wilson","W3 GYPSY ROSE","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","W4 COBALT STORM","53 - 63","20'M - 16'C","16M X 18C","7,9T - 7,9B","8T","7T","5T - 6B"
"Wilson","W4 RED FURY","53 - 63","20'M - 16'C","16M X 18C","7,9T - 7,9B","8T","7T","5T - 6B"
"Wilson","W4 SAVAGE LIME","53 - 63","20'M - 16'C","16M X 18C","7,9T - 7,9B","8T","7T","5T - 6B"
"Wilson","W4 SAVAGE SAPPHIRE","53 - 63","20'M - 16'C","16M X 18C","7,9T - 7,9B","8T","7T","5T - 6B"
"Wilson","W5 DIVINE IRIS","53 - 63","20'M - 17'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","W6 BLUE STEEL","51 - 61","20'M - 16'C","16M X 20C","7,9T - 7,9B","6T","7T","4T - 11B"
"Wilson","W6 WILD CRIMSON","51 - 61","20'M - 16'C","16M X 20C","7,9T - 7,9B","6T","7T","4T - 11B"
"Prince","AIR DB MP","53 - 63","20'M - 19'C","16M X 20C","7,9T - 7,9B","8T","7T","6T - 8B"
"Prince","AIR DB OS","57 - 67","21'M - 19'C","16M X 19C","7,9T - 8B","8T","7T","6T - 10B"
"Prince","AIR FREAK MP","53 - 63","19'M - 18'C","16M X 19C","7,9T - 7,9B","8T","7T","6T - 8B"
"Prince","AIR FREAK OS","55 - 65","19'M - 18'C","16M X 19C","7,9T - 7,9B","8T","7T","6T - 8B"
"Prince","AIR O REBEL OS","55 - 65","39' - 10'S","16M X 19C","7,9T - 7,9B","5T","7T","9B"
"Prince","AIR O SCREAM MP","53 - 63","39' - 10'S","16M X 19C","7,9T - 7,9B","8T","7T","9B"
"Prince","AIR O SCREAM OS","53 - 63","39' - 10'S","16M X 19C","7,9T - 7,9B","8T","7T","8B"
"Prince","AIR VANQUISH MP","53 - 63","19'M - 18'C","16M X 19C","7,9T - 7,9B","8T","7T","6T - 8B"
"Prince","AIR VANQUISH OS","55 - 65","19'M - 18'C","16M X 19C","7,9T - 7,9B","8T","7T","6T - 8B"
"Prince","AIRDRIVE B900 MP","53 - 63","20'M - 19'C","16M X 20C","7,9B","8B","7T","5T - 6B"
"Prince","AIRDRIVE B975 OS","60 - 70","19'M - 18'C","16M X 19C","7,9T - 7,9B","8B","7T","5T - 6B"
"Prince","AIRLAUNCH B875 MP","53 - 63","19'M - 19'C","16M X 19C","7,9T - 7,9B","8T","7T","5T - 8B"
"Prince","AIRLAUNCH B925 OS","57 - 67","19'M - 18'C","16M X 19C","7,9T - 7,9B","8B","7T","5T - 6B"
"Prince","AIRSTICK B1025 OS","57 - 67","19'M - 18'C","16M X 19C","7,9T - 7,9B","8B","7T","5T - 6B"
"Prince","AIRSTICK B975 MP","53 - 63","20'M - 19'C","16M X 20C","7,9B","8B","7T","5T - 6B"
"Prince","BEAST 100 TEXTREME","50 - 60","20'M - 19'C","16M X 19C","8T - 7,9B","8B","8T","7T - 6B"
"Prince","BEAST 98 TEXTREME","48 - 58","20'M - 19'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 6B"
"Prince","BEAST O3 100 TEXTREME","48 - 58","20'M - 19'C","16M X 19C","7,9T - 7,9B","8B","7T","6T - 6B"
"Prince","BEAST O3 98 TEXTREME","50 - 60","20'M - 19'C","16M X 19C","7,9T - 7,9B","8T","7T","10T - 6B"
"Prince","BEAST OS 104 TEXTREME","50 - 60","20'M - 19'C","16M X 19C","7,9T - 7,9B","8T","7T","10T - 6B"
"Prince","BLUE LS 110","55 - 65","20'M - 19'C","16M X 19C","7,9T - 7,9B","8B","7T","10T - 9B"
"Prince","CLASSIC GRAPHITE 100 & 100LB","53 - 63","20'M - 18'C","16M X 18C","8T - 8B","6B","8T","5T - 11B"
"Prince","CLASSIC GRAPHITE 107","57 - 67","21'M - 19'C","16M X 19C","8T - 8B","6B","8T","5T - 11B"
