brand,model,recommended_tension_lbs,string_length,string_pattern,main_holes_skipped,main_holes_tied,cross_holes_started,cross_holes_tied
"Wilson","BLX SIX-ONE LITE 102","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6T","7B","4T - 11B"
"Wilson","BLX SIX-ONE TEAM 95 (16x18)","50 - 60","20'M - 18'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","BLX SIX-ONE TEAM 95 (18x20)","50 - 60","20'M - 17'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 9B"
"Wilson","BLX SIX-ONE TOUR 90","50 - 60","18'M - 16'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","BLX STEAM 100","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","5T","7T","4T - 12B"
"Wilson","BLX STEAM 105 S","57 - 67","20'M - 17'C","16M X 15C","7,9T - 7,9B","8B","7T","4T - 9B"
"Wilson","BLX STEAM 96","50 - 60","20'M - 18'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 9B"
"Wilson","BLX STEAM 99","50 - 60","20'M - 18'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 9B"
"Wilson","BLX STEAM 99 S","54 - 64","20'M -17'C","16M X 15C","8T - 8B","6B","8T","5T - 11B"
"Wilson","BLX STRATUS THREE","55 - 65","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","BLX SURGE 100","53 - 63","20'M - 18'C","16M X 19C","8T - 8B","6B","8T","5T - 11B"
"Wilson","BLX TEMPEST FOUR","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","6T - 5B"
"Wilson","BLX THREE","55 - 65","22'M - 18'C","16M X 19C","7,9,10T","7B","7T","5T - 10B"
"Wilson","BLX TIDAL FORCE","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","BLX TIDAL WAVE 105","53 - 63","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","BLX TOUR 95","50 - 60","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 10B"
"Wilson","BLX TWO","55 - 65","21'M -18'C","16M X 20C","7,9T - 7,9B","5T","7T","8T - 6B"
"Wilson","BURN 100","50 - 60","20'M - 18'C","16M X 19C","7,9T - 8B","5B","7T","6T - 11B"
"Wilson","BURN 100 COUNTERVAIL","50 - 60","20'M - 18'C","16M X 19C","7,9T - 7,9B","8B","7T","6T - 6B"
"Wilson","BURN 100 LS","50 - 60","20'M - 18'C","18M X 16C","8,10T - 9B","6B","8T","6T - 11B"
"Wilson","BURN 100 LS COUNTERVAIL","50 - 60","20'M - 18'C","18M X 16C","8,10T - 9B","6B","8T","6T - 11B"
"Wilson","BURN 100 S","51 - 61","20'M - 16'C","18M X 16C","8,10T - 9B","6B","8T","6T - 11B"
"Wilson","BURN 100 S COUNTERVAIL","50 - 60","20'M - 16'C","18M X 16C","8,10T - 9B","6B","8T","6T - 11B"
"Wilson","BURN 100 TEAM","48 - 58","20'M - 18'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 9B"
"Wilson","BURN 100 ULS","50 - 60","20'M - 18'C","18M X 16C","8,10T - 9B","6B","8T","6T - 11B"
"Wilson","BURN 95","48 - 58","20'M - 19'C","16M X 20C","7,9T - 7,9B","8B","7T","8T - 6B"
"Wilson","BURN 95 COUNTERVAIL","50 - 60","20'M - 19'C","16M X 20C","7,9T - 7,9B","8B","7T","8T - 6B"
"Wilson","BURN FST 95","50 - 60","20'M - 19'C","16M X 19C","7,9T - 7,9B","8B","7T","6T - 6B"
"Wilson","BURN FST 99","50 - 60","20'M - 19'C","18M X 19C","8,10T - 8,10B","9B","8T","6T - 7B"
"Wilson","BURN FST 99S","50 - 60","20'M - 18'C","18M X 17C","9T - 9B","8B","9T","6T - 7B"
"Wilson","CLASH 100","47 - 57","20'M - 19'C","16M X 19C","7,9T - 7,9B","8B","7T","8T - 6B"
"Wilson","CLASH TOUR 100","47 - 57","20'M - 19'C","16M X 19C","7,9T - 7,9B","8B","7T","8T - 6B"
"Wilson","H BLAZE 95","53 - 63","18'M - 16'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H COSMO 115","55 - 65","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H CYCLONE","55 - 65","20'M - 19'C","16M X 19C","8T - 8B","6B","8T","5T - 11B"
"Wilson","H RIVAL 112","55 - 65","20'M - 19'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","H RIVAL 96","53 - 63","20'M - 19'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H TOUR 105","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H TOUR 95","50 - 60","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H WAVE 100","53 - 63","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H1 OUTER EDGE 135","55 - 65","24'M - 19'C","18M X 21C","8,10T - 8,10B","7T","8T","5T - 12B"
"Wilson","H2 OS","55 - 65","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H4 OS","55 - 65","20'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H5 MP","55 - 65","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H5 OS","55 - 65","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H6 MP","50 - 60","19'M - 17'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","H6 OS","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HAMMER 2.7 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","6B","8T","5T - 13B"
"Wilson","HAMMER 2.7 95","48 - 58","19'M - 17'C","18M X 20C","8,10T - 8,10B","6B","8T","5T - 13B"
"Wilson","HAMMER 3.0 Ti STRETCH","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HAMMER 3.2 Ti P. H. 118","53 - 63","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","9T - 12B"
"Wilson","HAMMER 3.6 STRETCH 125","55 - 65","22'M - 18'C","18M X 21C","8,10T - 8,10B","7T","8T","5T - 6B"
"Wilson","HAMMER 4.0 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","6B","8T","5T - 13B"
"Wilson","HAMMER 4.0 95","48 - 58","19'M - 18'C","18M X 20C","8,10T - 8,10B","9B","8T","5T - 13B"
"Wilson","HAMMER 4.0 STRETCH 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 6B"
"Wilson","HAMMER 4.0 STRETCH 95","50 - 60","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HAMMER 4.4 Ti STRETCH 110","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HAMMER 4.4 Ti STRETCH 95","53 - 63","19'M - 16'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HAMMER 5.0 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","9B","8T","6T - 12B"
"Wilson","HAMMER 5.0 95","50 - 60","19'M - 18'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","HAMMER 5.0 STRETCH 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","7T","8T","5T - 6B"
